"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV63"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV64"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Claroideoglomeraceae"	"Claroideoglomus"	"Claroideoglomus_lamellosum"
"ASV65"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV66"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV67"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV68"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Saccharomycetales_fam_Incertae_sedis"	"Candida"	NA
"ASV69"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"ASV70"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"ASV71"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV72"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV73"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV74"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV75"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV76"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV77"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV78"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_jasnowskae"
"ASV79"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV80"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"ASV81"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Helotiaceae"	"Phaeohelotium"	NA
"ASV82"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"ASV83"	"Fungi"	"Ascomycota"	"Pezizomycotina_cls_Incertae_sedis"	"Pezizomycotina_ord_Incertae_sedis"	"Pezizomycotina_fam_Incertae_sedis"	"Ciliophora"	NA
"ASV84"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Psathyrellaceae"	"Coprinopsis"	"Coprinopsis_vermiculifer"
"ASV85"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV86"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_caledonium"
"ASV87"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA
"ASV88"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV89"	NA	NA	NA	NA	NA	NA	NA
"ASV90"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV91"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV92"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV93"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV94"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV95"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV96"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	NA	NA
"ASV97"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV98"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV99"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV100"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	NA	NA	NA
"ASV101"	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Helotiaceae"	"Phaeohelotium"	NA
"ASV102"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"ASV103"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV104"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV105"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"ASV106"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV107"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV108"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV109"	"Fungi"	"Ascomycota"	"Pezizomycotina_cls_Incertae_sedis"	"Pezizomycotina_ord_Incertae_sedis"	"Pezizomycotina_fam_Incertae_sedis"	"Ciliophora"	NA
"ASV110"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV111"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV112"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	"Septoglomus_viscosum"
"ASV113"	NA	NA	NA	NA	NA	NA	NA
"ASV114"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV115"	NA	NA	NA	NA	NA	NA	NA
"ASV116"	NA	NA	NA	NA	NA	NA	NA
"ASV117"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV118"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV119"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV120"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV121"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Diversisporales"	"Diversisporaceae"	"Diversispora"	NA
"ASV122"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV123"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV124"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Cortinariaceae"	"Cortinarius"	NA
"ASV125"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV126"	NA	NA	NA	NA	NA	NA	NA
"ASV127"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV128"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV129"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Dominikia"	NA
"ASV130"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV131"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV132"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV133"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV134"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV135"	NA	NA	NA	NA	NA	NA	NA
"ASV136"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Glomus"	NA
"ASV137"	NA	NA	NA	NA	NA	NA	NA
"ASV138"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV139"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Septoglomus"	NA
"ASV140"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV141"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV142"	NA	NA	NA	NA	NA	NA	NA
"ASV143"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Rhizophagus"	"Rhizophagus_irregularis"
"ASV144"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	"Cortinariaceae"	"Cortinarius"	"Cortinarius_saturninus"
"ASV145"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV146"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
"ASV147"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	"Funneliformis"	"Funneliformis_mosseae"
"ASV148"	"Fungi"	"Glomeromycota"	"Glomeromycetes"	"Glomerales"	"Glomeraceae"	NA	NA
